ID_Hospital,Nombre,Capacidad_Camas,Camas_UCI,Distrito,Latitud,Longitud
H088,Hospital_88,367,15,Los Olivos,-11.91170996,-77.0306072
H089,Hospital_89,309,78,San Borja,-11.99439065,-77.0190533
H090,Hospital_90,116,18,Villa María del Triunfo,-11.95769851,-76.90654286
H091,Hospital_91,385,30,Chorrillos,-11.94724794,-76.86399247
H092,Hospital_92,443,33,San Isidro,-11.98917994,-76.98200709
H093,Hospital_93,302,13,Chorrillos,-11.96698649,-77.16528682
H094,Hospital_94,198,33,San Juan de Miraflores,-11.92648472,-77.10526021
H095,Hospital_95,378,68,La Molina,-11.89875246,-77.13402639
H096,Hospital_96,308,12,Breña,-11.90901904,-77.15015397
H097,Hospital_97,228,77,San Juan de Lurigancho,-11.85215342,-77.05364028
H098,Hospital_98,434,49,San Juan de Miraflores,-12.12422263,-77.1082426
H099,Hospital_99,387,57,Los Olivos,-12.03954081,-77.11267876
H100,Hospital_100,351,63,Miraflores,-11.82088157,-77.17812273
